answer,completion,score,board
Water,What is at A3?,69.64309044320923,1
B2,What is the bottommost square occupied by the leftmost ship?,73.51120371165814,1
C4,Which is the leftmost square occupied by the centermost ship?,71.70171089644495,1
B2,What is the first tile of the rightmost ship?,79.27658686006984,1
C5,What is the bottom-right corner of the centermost ship?,65.72787129763282,1
D2,What is the rightmost tile of the rightmost ship?,71.94916384841609,1
D6,What is the top-right square of the leftmost ship?,49.375099729767854,1
1,How many ships are vertical?,72.60977798538471,1
2,How many horizontal ships are there?,63.57575734689453,1
6,Which row is the row occupied by the rightmost ship?,67.45352062116879,1
4,Which column does the centermost ship inhabit?,78.95221913468555,1
Water,What are the coordinates of the ship if there is a ship at 3B?,67.66800682088054,1
4,How many color-specific coordinates are there for the rightmost ship?,76.68686978107772,1
2,What is the length of the centermost ship?,65.75749534757277,1
C4,What are the co-ordinates of the leftmost square occupied by the centermost ship?,58.29455355577793,1
C3,What are the co-ordinates of the water tile closest to the central ship?,70.92423434670778,1
1,How many ships are 4 long?,57.76701571685531,1
1,How many ships are 3-blocks long?,64.52425882147958,1
Water,What is at 4F?,60.15233331978334,1
C4,What is the coordinate leftmost tile of the ship at 4C?,59.88268613471537,1
Purple,Who touches the central ship?,77.42621467693805,1
Red,What is at C2?,70.03744047540732,1
Red,What is at 2C?,66.61144612377755,1
Water,What is 1C?,50.94498200711804,1
Water,What is 3B?,74.85577487516004,1
Water,What is 3F?,68.104997958612,1
Yes,Does the rightmost ship touch the edges of the map?,55.28767621356719,1
Water,What is at A3?,68.56710253457773,2
B2,What is the bottommost square occupied by the leftmost ship?,55.57259674675924,2
C4,Which is the leftmost square occupied by the centermost ship?,67.48829008516948,2
F3,What is the first tile of the rightmost ship?,53.88117246698238,2
E4,What is the bottom-right corner of the centermost ship?,70.03926833886015,2
F6,What is the rightmost tile of the rightmost ship?,74.51758350872734,2
B1,What is the top-right square of the leftmost ship?,57.61371925613538,2
2,How many ships are vertical?,68.31488337388792,2
1,How many horizontal ships are there?,61.51826202846362,2
F,Which column is the row occupied by the rightmost ship?,68.67252502824846,2
4,Which row does the centermost ship inhabit?,54.09402503532998,2
Water,What are the coordinates of the ship if there is a ship at 3B?,60.44103266047601,2
4,How many color-specific coordinates are there for the rightmost ship?,63.525137950405124,2
3,What is the length of the centermost ship?,68.34166033474732,2
C4,What are the co-ordinates of the leftmost square occupied by the centermost ship?,69.12735593866904,2
C3,What are the co-ordinates of the water tile closest to the central ship?,61.92350805777213,2
1,How many ships are 4 long?,71.49770001388015,2
1,How many ships are 3-blocks long?,62.34778995012403,2
Purple,What is at 4F?,48.919507497413775,2
4C,What is the coordinate leftmost tile of the ship at 4C?,52.63704159017148,2
Purple,Who touches the central ship?,60.25846904564632,2
Water,What is at C2?,50.141775279052666,2
Water,What is at 2C?,66.83573194766221,2
Water,What is 1C?,51.03088408409627,2
Water,What is 3B?,69.31026964180124,2
Purple,What is 3F?,46.10889061707689,2
Yes,Does the rightmost ship touch the edges of the map?,59.54849025117398,2
Water,What is at A3?,61.80059463228313,3
A6,What is the bottommost square occupied by the leftmost ship?,70.27060932743056,3
B3,Which is the leftmost square occupied by the centermost ship?,61.618252929035265,3
E1,What is the first tile of the rightmost ship?,65.44996938016696,3
E3,What is the bottom-right corner of the centermost ship?,52.00496734817276,3
F1,What is the rightmost tile of the rightmost ship?,63.23056607323958,3
A4,What is the top-right square of the leftmost ship?,64.90588918412286,3
1,How many ships are vertical?,63.7672275906781,3
2,How many horizontal ships are there?,59.72941362971527,3
1,Which row is the row occupied by the rightmost ship?,77.90934551346513,3
3,Which row does the centermost ship inhabit?,59.56668136600909,3
3B,What are the coordinates of the ship if there is a ship at 3B?,57.76668711629202,3
2,How many color-specific coordinates are there for the rightmost ship?,66.40201129351671,3
4,What is the length of the centermost ship?,59.35559744610182,3
B3,What are the co-ordinates of the leftmost square occupied by the centermost ship?,53.877511126541805,3
A3,What are the co-ordinates of the water tile closest to the central ship?,72.64440505963296,3
1,How many ships are 4 long?,67.5926798159854,3
1,How many ships are 3-blocks long?,84.07727806682519,3
Water,What is at 4F?,59.205476611081096,3
C2,What is the coordinate leftmost tile of the ship at 4C?,60.8192388331336,3
Blue,Who touches the central ship?,69.36768707157873,3
Blue,What is at A4?,66.00696445687225,3
Water,What is at 2C?,59.31468063521503,3
Purple,What is 1E?,65.1752876213226,3
Red,What is 3B?,64.28494070420678,3
Water,What is 3F?,74.12891051549695,3
Yes,Does the rightmost ship touch the edges of the map?,57.07761914656251,3
Water,What is at A3?,60.7804785921092,4
B5,What is the bottommost square occupied by the leftmost ship?,73.79691280525817,4
D1,Which is the leftmost square occupied by the centermost ship?,72.76624357920284,4
F4,What is the first tile of the rightmost ship?,59.35762593418727,4
D3,What is the bottom-right corner of the centermost ship?,75.11307633682364,4
F5,What is the rightmost tile of the rightmost ship?,57.20451103404537,4
E5,What is the top-right square of the leftmost ship?,47.930307416477234,4
2,How many ships are vertical?,56.87613142086429,4
1,How many horizontal ships are there?,64.84494704334469,4
F,Which column is the column occupied by the rightmost ship?,64.60143386972447,4
D,Which column does the centermost ship inhabit?,79.88758396772779,4
B5,What's a tile belonging to the ship closest to 3B?,76.6406565566881,4
2,How many color-specific coordinates are there for the rightmost ship?,48.55194587594409,4
3,What is the length of the centermost ship?,69.53648242966048,4
D1,What are the co-ordinates of the leftmost square occupied by the centermost ship?,62.25092936987014,4
D4,What are the co-ordinates of the water tile closest to the central ship?,66.35259005373284,4
1,How many ships are 4 long?,64.52318160891714,4
1,How many ships are 3-blocks long?,64.94849471994188,4
Purple,What is at 4F?,72.83479738352467,4
B5,What is the coordinate leftmost tile of the ship at 4C?,58.60560975344548,4
Water,Who touches the central ship?,63.05064092290433,4
Blue,What is at D5?,59.5711920115695,4
Red,What is at D2?,59.445053421839425,4
Water,What is 1C?,82.78456687494459,4
Water,What is 3B?,69.73686348140974,4
